ρ = 1/2 φ², V(ρ)
0.00105001, -2.60665e-05
0.00105501, -2.61898e-05
0.00106001, -2.6313e-05
0.00106501, -2.64362e-05
0.00107001, -2.65594e-05
0.00107501, -2.66827e-05
0.00108001, -2.68059e-05
0.00108501, -2.69291e-05
0.00109001, -2.70523e-05
0.00109501, -2.71754e-05
0.00110001, -2.72986e-05
0.00110501, -2.74218e-05
0.00111001, -2.75449e-05
0.00111501, -2.76681e-05
0.00112001, -2.77912e-05
0.00112501, -2.79143e-05
0.00113001, -2.80375e-05
0.00113501, -2.81606e-05
0.00114001, -2.82837e-05
0.00114501, -2.84068e-05
0.00115001, -2.85299e-05
0.00115501, -2.86529e-05
0.00116001, -2.8776e-05
0.00116501, -2.88991e-05
0.00117001, -2.90221e-05
0.00117501, -2.91452e-05
0.00118001, -2.92682e-05
0.00118501, -2.93913e-05
0.00119001, -2.95143e-05
0.00119501, -2.96373e-05
0.00120001, -2.97603e-05
0.00120501, -2.98833e-05
0.00121001, -3.00063e-05
0.00121501, -3.01293e-05
0.00122001, -3.02522e-05
0.00122501, -3.03752e-05
0.00123001, -3.04982e-05
0.00123501, -3.06211e-05
0.00124001, -3.0744e-05
0.00124501, -3.0867e-05
0.00125001, -3.09899e-05
0.00125501, -3.11128e-05
0.00126001, -3.12357e-05
0.00126501, -3.13586e-05
0.00127001, -3.14815e-05
0.00127501, -3.16044e-05
0.00128001, -3.17272e-05
0.00128501, -3.18501e-05
0.00129001, -3.1973e-05
0.00129501, -3.20958e-05
0.00130001, -3.22187e-05
0.00130501, -3.23415e-05
0.00131001, -3.24643e-05
0.00131501, -3.25871e-05
0.00132001, -3.27099e-05
0.00132501, -3.28327e-05
0.00133001, -3.29555e-05
0.00133501, -3.30783e-05
0.00134001, -3.32011e-05
0.00134501, -3.33238e-05
0.00135001, -3.34466e-05
0.00135501, -3.35693e-05
0.00136001, -3.36921e-05
0.00136501, -3.38148e-05
0.00137001, -3.39375e-05
0.00137501, -3.40602e-05
0.00138001, -3.41829e-05
0.00138501, -3.43056e-05
0.00139001, -3.44283e-05
0.00139501, -3.4551e-05
0.00140001, -3.46737e-05
0.00140501, -3.47963e-05
0.00141001, -3.4919e-05
0.00141501, -3.50416e-05
0.00142001, -3.51643e-05
0.00142501, -3.52869e-05
0.00143001, -3.54095e-05
0.00143501, -3.55321e-05
0.00144001, -3.56548e-05
0.00144501, -3.57774e-05
0.00145001, -3.58999e-05
0.00145501, -3.60225e-05
0.00146001, -3.61451e-05
0.00146501, -3.62677e-05
0.00147001, -3.63902e-05
0.00147501, -3.65128e-05
0.00148001, -3.66353e-05
0.00148501, -3.67578e-05
0.00149001, -3.68803e-05
0.00149501, -3.70029e-05
0.00150002, -3.71254e-05
0.00150502, -3.72479e-05
0.00151002, -3.73704e-05
0.00151502, -3.74928e-05
0.00152002, -3.76153e-05
0.00152502, -3.77378e-05
0.00153002, -3.78602e-05
0.00153502, -3.79827e-05
0.00154002, -3.81051e-05
0.00154502, -3.82275e-05
0.00155002, -3.835e-05
0.00155502, -3.84724e-05
0.00156002, -3.85948e-05
0.00156502, -3.87172e-05
0.00157002, -3.88396e-05
0.00157502, -3.89619e-05
0.00158002, -3.90843e-05
0.00158502, -3.92067e-05
0.00159002, -3.9329e-05
0.00159502, -3.94514e-05
0.00160002, -3.95737e-05
0.00160502, -3.96961e-05
0.00161002, -3.98184e-05
0.00161502, -3.99407e-05
0.00162002, -4.0063e-05
0.00162502, -4.01853e-05
0.00163002, -4.03076e-05
0.00163502, -4.04299e-05
0.00164002, -4.05521e-05
0.00164502, -4.06744e-05
0.00165002, -4.07967e-05
0.00165502, -4.09189e-05
0.00166002, -4.10411e-05
0.00166502, -4.11634e-05
0.00167002, -4.12856e-05
0.00167502, -4.14078e-05
0.00168002, -4.153e-05
0.00168502, -4.16522e-05
0.00169002, -4.17744e-05
0.00169502, -4.18966e-05
0.00170002, -4.20187e-05
0.00170502, -4.21409e-05
0.00171002, -4.22631e-05
0.00171502, -4.23852e-05
0.00172002, -4.25074e-05
0.00172502, -4.26295e-05
0.00173002, -4.27516e-05
0.00173502, -4.28737e-05
0.00174002, -4.29958e-05
0.00174502, -4.31179e-05
0.00175002, -4.324e-05
0.00175502, -4.33621e-05
0.00176002, -4.34842e-05
0.00176502, -4.36062e-05
0.00177002, -4.37283e-05
0.00177502, -4.38503e-05
0.00178002, -4.39724e-05
0.00178502, -4.40944e-05
0.00179002, -4.42164e-05
0.00179502, -4.43384e-05
0.00180002, -4.44604e-05
0.00180502, -4.45824e-05
0.00181002, -4.47044e-05
0.00181502, -4.48264e-05
0.00182002, -4.49484e-05
0.00182502, -4.50703e-05
0.00183002, -4.51923e-05
0.00183502, -4.53142e-05
0.00184002, -4.54362e-05
0.00184502, -4.55581e-05
0.00185002, -4.568e-05
0.00185502, -4.58019e-05
0.00186002, -4.59239e-05
0.00186502, -4.60458e-05
0.00187002, -4.61676e-05
0.00187502, -4.62895e-05
0.00188002, -4.64114e-05
0.00188502, -4.65333e-05
0.00189002, -4.66551e-05
0.00189502, -4.6777e-05
0.00190002, -4.68988e-05
0.00190502, -4.70206e-05
0.00191002, -4.71424e-05
0.00191502, -4.72643e-05
0.00192002, -4.73861e-05
0.00192502, -4.75079e-05
0.00193002, -4.76297e-05
0.00193502, -4.77514e-05
0.00194002, -4.78732e-05
0.00194502, -4.7995e-05
0.00195002, -4.81167e-05
0.00195502, -4.82385e-05
0.00196002, -4.83602e-05
0.00196502, -4.84819e-05
0.00197002, -4.86037e-05
0.00197502, -4.87254e-05
0.00198002, -4.88471e-05
0.00198502, -4.89688e-05
0.00199002, -4.90905e-05
0.00199502, -4.92121e-05
0.00200002, -4.93338e-05
0.00200502, -4.94555e-05
0.00201002, -4.95771e-05
0.00201502, -4.96988e-05
0.00202002, -4.98204e-05
0.00202502, -4.99421e-05
0.00203002, -5.00637e-05
0.00203502, -5.01853e-05
0.00204002, -5.03069e-05
0.00204502, -5.04285e-05
0.00205002, -5.05501e-05
0.00205502, -5.06717e-05
0.00206002, -5.07932e-05
0.00206502, -5.09148e-05
0.00207002, -5.10364e-05
0.00207502, -5.11579e-05
0.00208002, -5.12794e-05
0.00208502, -5.1401e-05
0.00209002, -5.15225e-05
0.00209502, -5.1644e-05
0.00210002, -5.17655e-05
0.00210502, -5.1887e-05
0.00211002, -5.20085e-05
0.00211502, -5.213e-05
0.00212002, -5.22514e-05
0.00212502, -5.23729e-05
0.00213002, -5.24944e-05
0.00213502, -5.26158e-05
0.00214002, -5.27373e-05
0.00214502, -5.28587e-05
0.00215002, -5.29801e-05
0.00215502, -5.31015e-05
0.00216002, -5.32229e-05
0.00216502, -5.33443e-05
0.00217002, -5.34657e-05
0.00217502, -5.35871e-05
0.00218002, -5.37085e-05
0.00218502, -5.38298e-05
0.00219002, -5.39512e-05
0.00219502, -5.40725e-05
0.00220002, -5.41939e-05
0.00220502, -5.43152e-05
0.00221002, -5.44365e-05
0.00221502, -5.45578e-05
0.00222002, -5.46791e-05
0.00222502, -5.48004e-05
0.00223002, -5.49217e-05
0.00223502, -5.5043e-05
0.00224002, -5.51643e-05
0.00224502, -5.52855e-05
0.00225002, -5.54068e-05
0.00225502, -5.5528e-05
0.00226002, -5.56493e-05
0.00226502, -5.57705e-05
0.00227002, -5.58917e-05
0.00227502, -5.60129e-05
0.00228002, -5.61342e-05
0.00228502, -5.62553e-05
0.00229002, -5.63765e-05
0.00229502, -5.64977e-05
0.00230002, -5.66189e-05
0.00230502, -5.67401e-05
0.00231002, -5.68612e-05
0.00231502, -5.69824e-05
0.00232002, -5.71035e-05
0.00232502, -5.72246e-05
0.00233002, -5.73457e-05
0.00233502, -5.74669e-05
0.00234002, -5.7588e-05
0.00234502, -5.77091e-05
0.00235002, -5.78302e-05
0.00235502, -5.79512e-05
0.00236002, -5.80723e-05
0.00236502, -5.81934e-05
0.00237002, -5.83144e-05
0.00237502, -5.84355e-05
0.00238002, -5.85565e-05
0.00238502, -5.86775e-05
0.00239002, -5.87986e-05
0.00239502, -5.89196e-05
0.00240002, -5.90406e-05
0.00240502, -5.91616e-05
0.00241002, -5.92826e-05
0.00241502, -5.94035e-05
0.00242002, -5.95245e-05
0.00242502, -5.96455e-05
0.00243002, -5.97664e-05
0.00243502, -5.98874e-05
0.00244002, -6.00083e-05
0.00244502, -6.01293e-05
0.00245002, -6.02502e-05
0.00245502, -6.03711e-05
0.00246002, -6.0492e-05
0.00246502, -6.06129e-05
0.00247002, -6.07338e-05
0.00247502, -6.08547e-05
0.00248002, -6.09755e-05
0.00248502, -6.10964e-05
0.00249002, -6.12173e-05
0.00249502, -6.13381e-05
0.00250003, -6.14589e-05
0.00250503, -6.15798e-05
0.00251003, -6.17006e-05
0.00251503, -6.18214e-05
0.00252003, -6.19422e-05
0.00252503, -6.2063e-05
0.00253003, -6.21838e-05
0.00253503, -6.23046e-05
0.00254003, -6.24253e-05
0.00254503, -6.25461e-05
0.00255003, -6.26669e-05
0.00255503, -6.27876e-05
0.00256003, -6.29084e-05
0.00256503, -6.30291e-05
0.00257003, -6.31498e-05
0.00257503, -6.32705e-05
0.00258003, -6.33912e-05
0.00258503, -6.35119e-05
0.00259003, -6.36326e-05
